Playback2.acq
Graph Created on: 2024-02-26 21:48:18.248
Recording on: 2024-02-26 21:49:05.654
2.48756 msec/sample
5 channels
Count
number
ECG
µV
PPG
µV
EDA
µS
Temperature
C
sec,CH1,CH2,CH3,CH4,CH5,
,8022 samples,8022 samples,8022 samples,8022 samples,8022 samples,
11.0572,84,4167,1851.15,1.5304,29.5356,
11.0597,84,4167,1854.46,1.5304,29.5356,
11.0622,84,4167,1856.49,1.5304,29.5356,
11.0647,84,4167,1855.22,1.5304,29.5356,
11.0672,84,4167,1850.64,1.5304,29.5356,
11.0697,84,4167,1852.93,1.5304,29.5356,
11.0721,84,4167,1848.35,1.53077,29.5304,
11.0746,84,4167,1853.44,1.53077,29.5304,
11.0771,84,4167,1849.63,1.53077,29.5304,
11.0796,84,4167,1852.68,1.53077,29.5304,
11.0821,84,4167,1850.13,1.53077,29.5304,
11.0846,84,4167,1849.63,1.53077,29.5304,
11.0871,84,4167,1848.86,1.53077,29.5304,
11.0896,84,4167,1850.64,1.53077,29.5304,
11.092,84,4167,1848.1,1.53077,29.5304,
11.0945,84,4167,1840.22,1.53077,29.5304,
11.097,84,4167,1839.96,1.53077,29.5304,
11.0995,84,4167,1838.69,1.53077,29.5304,
11.102,84,4167,1837.16,1.53077,29.5304,
11.1045,84,4167,1840.47,1.53077,29.5304,
11.107,84,4167,1839.71,1.53077,29.5304,
11.1095,84,4167,1846.83,1.53077,29.5304,
11.1119,84,4167,1847.85,1.53077,29.5304,
11.1144,84,4167,1845.81,1.53077,29.5304,
11.1169,84,4167,1843.01,1.53077,29.5304,
11.1194,84,4167,1844.28,1.53077,29.5304,
11.1219,85,4167,1847.08,1.53077,29.5356,
11.1244,85,4167,1840.72,1.53077,29.5356,
11.1269,85,4167,1839.96,1.53077,29.5356,
11.1294,85,4167,1836.4,1.53077,29.5356,
11.1318,85,4167,1838.43,1.53077,29.5356,
11.1343,85,4167,1839.45,1.53077,29.5356,
11.1368,85,4167,1842,1.53077,29.5356,
11.1393,85,4167,1841.49,1.53077,29.5356,
11.1418,85,4167,1843.27,1.53077,29.5356,
11.1443,85,4167,1845.05,1.53077,29.5356,
11.1468,85,4167,1846.07,1.53077,29.5356,
11.1493,85,4167,1848.61,1.53077,29.5356,
11.1517,85,4167,1848.61,1.53077,29.5356,
11.1542,85,4167,1847.34,1.53077,29.5356,
11.1567,85,4167,1843.27,1.53077,29.5356,
11.1592,85,4167,1845.3,1.53077,29.5356,
11.1617,85,4167,1847.34,1.53077,29.5356,
11.1642,85,4167,1840.22,1.53077,29.5356,
11.1667,85,4167,1838.94,1.53077,29.5356,
11.1692,85,4167,1835.38,1.53077,29.5356,
11.1716,85,4167,1833.09,1.53077,29.5409,
11.1741,85,4167,1828.01,1.53077,29.5409,
11.1766,85,4167,1831.06,1.53077,29.5409,
11.1791,85,4167,1834.62,1.53077,29.5409,
11.1816,85,4167,1833.09,1.53077,29.5409,
11.1841,85,4167,1834.87,1.53077,29.5409,
11.1866,85,4167,1826.48,1.53077,29.5409,
11.1891,85,4167,1828.26,1.53077,29.5409,
11.1915,85,4167,1828.52,1.53077,29.5409,
11.194,85,4167,1827.75,1.53077,29.5409,
11.1965,85,4167,1821.65,1.53077,29.5409,
11.199,85,4167,1816.82,1.53077,29.5409,
11.2015,85,4167,1819.1,1.53077,29.5409,
11.204,85,4167,1817.83,1.53077,29.5409,
11.2065,85,4167,1818.85,1.53077,29.5409,
11.209,85,4167,1818.34,1.53077,29.5409,
11.2114,85,4167,1819.87,1.53077,29.5409,
11.2139,85,4167,1814.27,1.53077,29.5409,
11.2164,85,4167,1811.98,1.53077,29.5409,
11.2189,85,4167,1808.93,1.53077,29.5409,
11.2214,86,4167,1805.37,1.53002,29.5409,
11.2239,86,4167,1804.1,1.53002,29.5409,
11.2264,86,4167,1806.64,1.53002,29.5409,
11.2289,86,4167,1802.32,1.53002,29.5409,
11.2313,86,4167,1799.01,1.53002,29.5409,
11.2338,86,4167,1798.25,1.53002,29.5409,
11.2363,86,4167,1795.2,1.53002,29.5409,
11.2388,86,4167,1789.09,1.53002,29.5409,
11.2413,86,4167,1791.38,1.53002,29.5409,
11.2438,86,4167,1797.48,1.53002,29.5409,
11.2463,86,4167,1793.67,1.53002,29.5409,
11.2488,86,4167,1793.41,1.53002,29.5409,
11.2512,86,4167,1792.14,1.53002,29.5409,
11.2537,86,4167,1786.8,1.53002,29.5409,
11.2562,86,4167,1793.92,1.53002,29.5409,
11.2587,86,4167,1794.43,1.53002,29.5409,
11.2612,86,4167,1792.14,1.53002,29.5409,
11.2637,86,4167,1794.94,1.53002,29.5409,
11.2662,86,4167,1794.94,1.53002,29.5409,
11.2687,86,4167,1788.07,1.53002,29.5409,
11.2711,86,4167,1790.62,1.53002,29.5461,
11.2736,86,4167,1787.06,1.53002,29.5461,
